iShares Expanded Tech-Software Sector ETF
Fund Holdings as of,"Sep 01, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"142,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WK","WORKIVA CLASS A","Information Technology","Equity","19,075,596.80","0.13","19,075,596.80","248,704.00","76.70","United States","NYSE","USD","1.00","USD","-"
"QTWO","Q2 HOLDINGS INC","Information Technology","Equity","18,931,995.39","0.13","18,931,995.39","296,229.00","63.91","United States","NYSE","USD","1.00","USD","-"
"YOU","CLEAR SECURE CLASS A","Information Technology","Equity","18,619,846.34","0.13","18,619,846.34","433,322.00","42.97","United States","NYSE","USD","1.00","USD","-"
"TENB","TENABLE HOLDINGS","Information Technology","Equity","18,509,948.56","0.13","18,509,948.56","521,848.00","35.47","United States","NASDAQ","USD","1.00","USD","-"
"MARA","MARA HOLDINGS","Information Technology","Equity","18,457,047.84","0.13","18,457,047.84","1,804,208.00","10.23","United States","NASDAQ","USD","1.00","USD","-"
"CCC","CCC INTELLIGENT SOLUTIONS HOLDINGS","Information Technology","Equity","18,300,062.92","0.13","18,300,062.92","2,527,633.00","7.24","United States","NASDAQ","USD","1.00","USD","-"
"DLB","DOLBY LABORATORIES CLASS A","Information Technology","Equity","17,543,056.54","0.12","17,543,056.54","285,578.00","61.43","United States","NYSE","USD","1.00","USD","-"
"LIF","LIFE360","Information Technology","Equity","16,056,726.30","0.11","16,056,726.30","383,490.00","41.87","United States","NASDAQ","USD","1.00","USD","-"
"PEGA","PEGASYSTEMS","Information Technology","Equity","15,664,670.84","0.11","15,664,670.84","427,063.00","36.68","United States","NASDAQ","USD","1.00","USD","-"
"BRZE","BRAZE CLASS A","Information Technology","Equity","15,341,433.36","0.11","15,341,433.36","468,012.00","32.78","United States","NASDAQ","USD","1.00","USD","-"
"SPSC","SPS COMMERCE","Information Technology","Equity","14,405,604.44","0.10","14,405,604.44","173,708.00","82.93","United States","NASDAQ","USD","1.00","USD","-"
"KVYO","KLAVIYO SERIES A","Information Technology","Equity","13,761,843.84","0.10","13,761,843.84","666,756.00","20.64","United States","NYSE","USD","1.00","USD","-"
"AGYS","AGILYSYS INC","Information Technology","Equity","13,580,130.27","0.09","13,580,130.27","120,723.00","112.49","United States","NASDAQ","USD","1.00","USD","-"
"FRSH","FRESHWORKS CLASS A","Information Technology","Equity","13,502,345.16","0.09","13,502,345.16","1,003,146.00","13.46","United States","NASDAQ","USD","1.00","USD","-"
"CLSK","CLEANSPARK","Information Technology","Equity","13,429,992.10","0.09","13,429,992.10","1,214,285.00","11.06","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS","Information Technology","Equity","13,275,107.98","0.09","13,275,107.98","238,718.00","55.61","United States","NASDAQ","USD","1.00","USD","-"
"SOUN","SOUNDHOUND AI CLASS A","Information Technology","Equity","12,974,098.65","0.09","12,974,098.65","1,894,029.00","6.85","United States","NASDAQ","USD","1.00","USD","-"
"TDC","TERADATA","Information Technology","Equity","12,756,928.20","0.09","12,756,928.20","445,268.00","28.65","United States","NYSE","USD","1.00","USD","-"
"ADEA","ADEIA","Information Technology","Equity","12,718,629.89","0.09","12,718,629.89","521,897.00","24.37","United States","NASDAQ","USD","1.00","USD","-"
"FIVN","FIVE9","Information Technology","Equity","12,329,987.81","0.09","12,329,987.81","362,327.00","34.03","United States","NASDAQ","USD","1.00","USD","-"
"RAMP","LIVERAMP HOLDINGS INC","Information Technology","Equity","11,296,834.00","0.08","11,296,834.00","298,700.00","37.82","United States","NYSE","USD","1.00","USD","-"
"INTA","INTAPP","Information Technology","Equity","10,625,169.64","0.07","10,625,169.64","251,662.00","42.22","United States","NASDAQ","USD","1.00","USD","-"
"NCNO","NCINO","Information Technology","Equity","10,448,442.00","0.07","10,448,442.00","468,540.00","22.30","United States","NASDAQ","USD","1.00","USD","-"
"PRGS","PROGRESS SOFTWARE CORP","Information Technology","Equity","9,004,206.40","0.06","9,004,206.40","199,120.00","45.22","United States","NASDAQ","USD","1.00","USD","-"
"AVPT","AVEPOINT CLASS A","Information Technology","Equity","8,804,227.50","0.06","8,804,227.50","652,165.00","13.50","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","8,640,495.60","0.06","8,640,495.60","8,640,496.00","1.00","United States","-","USD","1.00","USD","-"
"ATEN","A10 NETWORKS","Information Technology","Equity","8,501,363.20","0.06","8,501,363.20","340,736.00","24.95","United States","NYSE","USD","1.00","USD","-"
"BLKB","BLACKBAUD","Information Technology","Equity","7,985,041.38","0.06","7,985,041.38","167,121.00","47.78","United States","NASDAQ","USD","1.00","USD","-"
"APPN","APPIAN CORP CLASS A","Information Technology","Equity","7,607,537.28","0.05","7,607,537.28","188,352.00","40.39","United States","NASDAQ","USD","1.00","USD","-"
"BL","BLACKLINE INC","Information Technology","Equity","7,475,103.54","0.05","7,475,103.54","232,074.00","32.21","United States","NASDAQ","USD","1.00","USD","-"
"ALKT","ALKAMI TECHNOLOGY","Information Technology","Equity","7,467,448.32","0.05","7,467,448.32","384,128.00","19.44","United States","NASDAQ","USD","1.00","USD","-"
"NN","NEXTNAV","Information Technology","Equity","6,531,830.42","0.05","6,531,830.42","429,161.00","15.22","United States","NASDAQ","USD","1.00","USD","-"
"AI","C3 AI CLASS A","Information Technology","Equity","6,350,228.28","0.04","6,350,228.28","614,142.00","10.34","United States","NYSE","USD","1.00","USD","-"
"LSPD","LIGHTSPEED COMMERCE","Information Technology","Equity","6,080,763.50","0.04","6,080,763.50","599,090.00","10.15","Canada","NYSE","USD","1.00","USD","-"
"VYX","NCR VOYIX","Information Technology","Equity","5,689,643.86","0.04","5,689,643.86","650,989.00","8.74","United States","NYSE","USD","1.00","USD","-"
"PD","PAGERDUTY","Information Technology","Equity","5,178,625.92","0.04","5,178,625.92","368,848.00","14.04","United States","NYSE","USD","1.00","USD","-"
"VERX","VERTEX CLASS A","Information Technology","Equity","4,942,122.84","0.03","4,942,122.84","357,348.00","13.83","United States","NASDAQ","USD","1.00","USD","-"
"ASAN","ASANA CLASS A","Information Technology","Equity","4,601,511.47","0.03","4,601,511.47","468,109.00","9.83","United States","NYSE","USD","1.00","USD","-"
"CXM","SPRINKLR CLASS A","Information Technology","Equity","4,144,166.00","0.03","4,144,166.00","545,285.00","7.60","United States","NYSE","USD","1.00","USD","-"
"AIP","ARTERIS INC","Information Technology","Equity","3,299,422.90","0.02","3,299,422.90","159,085.00","20.74","United States","NASDAQ","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","577,000.00","0.00","577,000.00","577,000.00","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"RTYU6","RUSSELL 2000 EMINI CME SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","2,924,700.00","20.00","2,924.70","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"IXTU6","EMINI TECHNOLOGY SELECT SECTOR SEP","Cash and/or Derivatives","Futures","0.00","0.00","5,183,500.00","14.00","3,702.50","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-1,873,214.15","-0.01","-1,873,214.15","-1,873,214.00","100.00","United States","-","USD","1.00","USD","-"

